name,location,address,type
Cranium One,Eti-Osa,"1 Towry Close, Off Idejo Street, Victoria Island, Lagos",Co- Working Spaces
WorkStation,Eti-Osa,"7 Ibiyinka Olorunbe Close, Victoria Island, Lagos",Co- Working Spaces
Seedspace Lagos,Ikoyi,"23 Agodogba Avenue, Parkview Estate, Lagos",Co- Working Spaces
V8 Valley,Eti-Osa,"7b Dr S Ezekuse Close, Lekki Phase 1, Lagos",Co- Working Spaces
ReDahlia Workspaces,Ikeja,"43B Emina Crescent, Off Toyin Street, Ikeja, Lagos",Co- Working Spaces
Wennovation Hub,Ikeja,"11a Rev Ogunbiyi Street, Off Oba Akinjobi Street, Ikeja GRA, Lagos",Co- Working Spaces
Vibranium Valley,Ikeja,"42 Local Airport Road, Ikeja, Lagos",Co- Working Spaces
Workbay,Ikeja,"3-9 Olu Koleosho Street, Off Simbiat Abiola Way, Ikeja, Lagos",Co- Working Spaces
eeSpace,Ikeja,"Cardinal Building, 3 Ijaiye Road, Ogba, Ikeja, Lagos",Co- Working Spaces
Hub30 Coworking Space,Amuwo-Odofin,"41 Road, G Close, No 3 Festac Town, Lagos",Co- Working Spaces
The Lighthouse,Lagos Island,"35 Moloney Street, Obalende, Lagos Island, Lagos",Co- Working Spaces
A1 Spaces,Lagos Island,"Suite 203E, City Hall, Catholic Mission Street, Lagos Island, Lagos",Co- Working Spaces
Smart X Business Hub,Ikeja,"16B Mobolaji Bank Anthony Way, Behind Keystone Bank, Maryland, Lagos",Co- Working Spaces
Venia Business Hub,Eti-Osa,"8 The Providence Street, Lekki Phase I, Lagos",Co- Working Spaces
Workquarters,Ikorodu,"Blue House, Jumofak Bus Stop, 134 Lagos Ikorodu Express Road, Ikorodu, Lagos, Nigeria",Co- Working Spaces
Vatebra Tech Hub,Along Lekki-Epe,"Royal Office Building, 4th floor, KM 25 Lekki Epe Expressway, Ajiwe-Ajah, Opposite Fidelity Bank",Co- Working Spaces
Boluwatife Food Canteen,Agege,"7 College Road, Iju Road, Agege, Lagos",Resturants and Cafes
Ubok-Abasi Restaurant,Agege,"83 Dopemu Road, Dopemu, Agege, Lagos",Resturants and Cafes
Vintage Africana,Agege,"6 William Elliot North Street, Oko-Oba, Agege, Lagos",Resturants and Cafes
Yenji Restaurant,Agege,"37 George Street, Agege, Lagos",Resturants and Cafes
Firstview Luxury Apartment And Hotel,"Amuwo Odofin, Lagos","1 Adeniran Bamishile Street, First Estate, Off Raji Rasaki Road, Amuwo Odofin, Lagos",Resturants and Cafes
Promise Land Hotels Limited,"Amuwo Odofin, Lagos","1B Badagry Expressway, Maza Maza Bus-Stop, Amuwo-Odofin, Lagos",Resturants and Cafes
Sunfit International Limited,"Amuwo Odofin, Lagos","327/329 Rafiu Babatunde Tinubu Road, Amuwo Odofin, Lagos",Resturants and Cafes
Big Fish Restaurant And Bar,"Amuwo Odofin, Lagos","Plot 270, 4th Avenue, Festac Town, Amuwo Odofin, Lagos",Resturants and Cafes
Cafe Maison,Eti-Osa,"25 Adelowo Adedeji Street, Lekki Phase 1, Eti-Osa, Lagos",Resturants and Cafes
Jevinik Restaurant,Eti-Osa,"14B Agoro Odiyan Street, Victoria Island, Eti-Osa, Lagos",Resturants and Cafes
Mama Cass Restaurant,Eti-Osa,"Plot 271B Ajose Adeogun Street, Eti-Osa, Lagos",Resturants and Cafes
Orchid Bistro Cafe,Ikeja,"58a Isaac John Street, G.R.A, Ikeja, Lagos",Resturants and Cafes
New China Restaurant,Ikeja,"Opic Plaza, 26 Mobolaji Bank Anthony Way, Ikeja, Lagos",Resturants and Cafes
Domino's Pizza,Ikeja,"22 Lateef Jakande Road, Agidingbi, Ikeja, Lagos",Resturants and Cafes
Jevinik Place,Ikeja,"21 Isaac John Street, G.R.A, Ikeja, Lagos",Resturants and Cafes
Yellow Chilli Restaurant & Bar,Ikeja,"35 Joel Ogunnaike Street, G.R.A, Ikeja, Lagos",Resturants and Cafes
ZEN Garden,Ikeja,"60 Isaac John Street, G.R.A, Ikeja, Lagos",Resturants and Cafes
Bungalow Restaurant,Ikeja,"1296 Akin Adesola Street, Victoria Island, Ikeja, Lagos",Resturants and Cafes
The Pub Restaurant & Bar,Apapa,"68 Marine Road, Apapa, Lagos",Resturants and Cafes
Palace Chinese Restaurant,Apapa,"1 Kofo Abayomi Street, Apapa, Lagos",Resturants and Cafes
Bayroot Bar and Lounge,Apapa,"23 Warehouse Road, Apapa, Lagos",Resturants and Cafes
TM Restaurant,Apapa,"5 Point Road, Apapa, Lagos",Resturants and Cafes
Tarragon,Ikoyi,[Address not specified],Resturants and Cafes
Danfo Bistro,Ikoyi,[Address not specified],Resturants and Cafes
Oh La La Cafe Lagos,Ikoyi,[Address not specified],Resturants and Cafes
Jay's Diner,Ikoyi,[Address not specified],Resturants and Cafes
7Spices Restaurant & Bar,Ikoyi,[Address not specified],Resturants and Cafes
Blackbell,Lekki,"Block 2, Plot 69, Admiralty Way, Lekki, Lagos",Resturants and Cafes
Blackbell,Victoria Island,"No 57 Adeola Odeku Street, off Akin Adesola, Victoria Island, Lagos",Resturants and Cafes
Chicken Republic,Victoria Island,"Plot 3 Block III, Yesuf Abiodun Way, (beside Four Points Hotels), Victoria Island, Lagos",Resturants and Cafes
The Place Restaurant,Lekki,[Address not specified],Resturants and Cafes
Chicken Republic,Sangotedo,"KM 46 Lekki - Epe Expressway, Farm Bus-Stop, Sangotedo, Eti-Osa, Lagos",Resturants and Cafes
Chicken Republic,Ikeja,"37A Opebi Road, Opposite Adebola House, Ikeja, Lagos",Resturants and Cafes
Yellow Chilli Restaurant,Victoria Island,"27 Oju Olobun Close, Victoria Island, Lagos",Resturants and Cafes
Yellow Chilli Restaurant,Ikeja,[Address not specified],Resturants and Cafes
Lalaba,Ikeja,[Address not specified],Resturants and Cafes
Bogobiri House,Ikoyi,"9 Maitama Sule Street, Off Awolowo Road, Ikoyi, Lagos",Resturants and Cafes
Sherlaton Restaurant,Ikoyi,"108 Awolowo Road, Ikoyi, Lagos",Resturants and Cafes
Santa Fe Restaurant,Ikoyi,"144 Awolowo Road, Ikoyi, Lagos",Resturants and Cafes
Saipan Restaurant & Bar,Victoria Island,"3rd & 4th Floor, Dream Plaza, 7 Bishop Aboyade Cole Street, Victoria Island, Lagos",Resturants and Cafes
The Restaurant,Victoria Island,"29 Karimu Kotun Street, Victoria Island, Lagos",Resturants and Cafes
Windows,Victoria Island,"Shop 4, Food Court, Mega Plaza, 14 Idowu Martins Street, Victoria Island, Lagos",Resturants and Cafes
Café Neo,Victoria Island,[Specific address not availabl,Resturants and Cafes
Tarzan Tourist Restaurant & Bar,Lekki,"Plot 6A, Lekki-Epe Expressway, Opp. Maroko Police Station, Lekki, Lagos",Resturants and Cafes
Vista Guest House & Restaurant,Gbagada,"Plot 175, Gbagada Estate, Phase I, Oworonsoki Expressway, Gbagada, Lagos",Resturants and Cafes
Gbagada,,,Resturants and Cafes
Tee-Kay Restaurant,Ikeja,"170 Obafemi Awolowo Way, Ikeja, Lagos",Resturants and Cafes
U.J. Restaurant,Ikeja,"3 Mokuolu Street, Ogba, Ikeja, Lagos",Resturants and Cafes
Yellow Chilli Restaurant,Ikeja,[Specific address not available],Resturants and Cafes
Palatable Food And Event Place,Badagry,"G422+6FG, 103101, Agbara, Nigeria",Resturants and Cafes
Symplinatural,Badagry,"Plot 4, Block E, Amuwo Odofin Ind. Layout, Orile, Expressway, Badagry Nigeria, 103101",Resturants and Cafes
Ar-Rahkab Beach and Holiday Resort,Badagry,"9QMG+RH7, 103211, Badagry, Nigeria",Resturants and Cafes
Winnys Eatery,Badagry,"F2MJ+3WC, Lagos - Badagry Expy, 103101, Badagry, Nigeria",Resturants and Cafes
Boiling Pot,Badagry,"Joseph Dosu Way, 103101, Badagry, Nigeria",Resturants and Cafes
Jembe Dine&Wine,Badagry,"Ajara Topa Junction, Off Badagry Seme Expressway, Badagry Local Government, 103101, Lagos",Resturants and Cafes
De Rolas Hotel Limited,Ikorodu,"1/3, Twins Avenue, Off Bola Hameed Tinubu Road, Oreyo Igbogbo, Ikorodu, Lagos",Hotels and Guest Houses
Mambillah Hotel,Ikorodu,"6-10 Omodisu Street, Off Isawo Road, Beside Oando Filling Station, Agric, Ikorodu, Lagos",Hotels and Guest Houses
Ikorodu Highland Hotel,Ikorodu,"Itokun Road, Kasholori, Ikorodu, Lagos",Hotels and Guest Houses
Sheriffyt Royale Hotel And Suites,Ikorodu,"95/97, Shagamu Road, Ikorodu, Lagos",Hotels and Guest Houses
Abvic Executive Hotel,Ikorodu,"50, Igbodu Road, Imowonla Agura Gberigbe, Ikorodu, Lagos",Hotels and Guest Houses
